,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
40,418,448179,"Hill, Rich",2496,16.7,0.149,0.131,410,83.8,18.3,2501,79.3,78.69,98,381,37,-0.6,6.2,1.69,-1.69
41,435,608344,"Irvin, Cole",2682,16.2,0.186,0.164,429,86.5,16.9,1845,87.5,87.0,71,408,27,-0.5,6.22,1.67,-1.67
42,45,606424,"García, Jarlín",1002,4.5,0.181,0.161,42,83.9,10.6,2189,88.7,89.08,8,39,6,0.4,6.44,1.67,-1.67
43,202,592761,"Smith, Caleb",2067,9.8,0.121,0.106,201,84.5,27.3,2347,86.6,85.54,49,179,23,-1.1,5.69,1.66,-1.66
44,468,628711,"Urías, Julio",2786,16.8,0.13,0.118,459,82.1,16.0,2507,88.2,87.26,127,426,42,-0.9,5.64,1.57,-1.57
45,258,547942,"Kim, Kwang Hyun",1784,14.5,0.143,0.134,254,83.7,7.4,2056,84.5,85.0,57,245,13,0.5,6.7,1.57,-1.57
46,174,519043,"Moore, Matt",1254,13.9,0.151,0.133,166,83.0,17.0,2179,88.5,88.17,37,160,14,-0.3,6.18,1.56,-1.56
47,213,641482,"Cortes, Nestor",1524,14.0,0.119,0.107,211,85.4,28.2,2232,87.1,86.6,53,189,24,-0.5,5.93,1.5,-1.5
48,293,477132,"Kershaw, Clayton",1806,16.2,0.11,0.104,290,83.3,8.2,2587,86.3,86.33,98,275,18,0.0,6.3,1.47,-1.47
49,256,474463,"Anderson, Brett",1508,17.0,0.203,0.184,246,86.2,-1.2,1702,85.4,81.24,38,241,15,-4.2,5.9,1.42,-1.42
50,295,663460,"Bubic, Kris",2202,13.4,0.149,0.138,292,85.0,8.9,1970,85.2,85.46,77,276,19,0.3,6.58,1.4,-1.4
51,397,572971,"Keuchel, Dallas",2726,14.6,0.199,0.185,397,84.6,1.7,1943,84.0,83.62,58,379,18,-0.4,6.05,1.36,-1.36
52,205,656954,"Sheffield, Justus",1470,13.9,0.182,0.16,200,87.7,11.6,2226,86.8,85.82,45,196,9,-1.0,5.85,1.32,-1.32
53,386,608331,"Fried, Max",2558,15.1,0.14,0.132,380,81.7,0.8,2322,87.6,87.79,104,357,29,0.2,6.32,1.28,-1.28
54,261,527048,"Pérez, Martín",1860,14.0,0.172,0.151,256,86.4,9.3,2031,89.6,88.92,37,219,42,-0.7,5.83,1.19,-1.19
55,310,664285,"Valdez, Framber",2090,14.8,0.156,0.15,308,89.2,-8.5,2344,86.7,85.19,83,290,20,-1.5,5.86,1.12,-1.12
56,172,663738,"Lynch, Daniel",1257,13.7,0.166,0.137,167,86.1,14.5,2027,89.7,90.28,38,161,11,0.6,6.56,1.0,-1.0
57,168,656849,"Peterson, David",1122,15.0,0.157,0.15,166,85.4,4.2,2101,88.9,90.1,45,151,17,1.2,7.1,0.86,-0.86
58,172,669145,"Zimmermann, Bruce",1105,15.6,0.167,0.15,169,87.0,14.3,2289,86.9,86.27,43,164,8,-0.6,6.23,0.79,-0.79
59,399,501985,"Minor, Mike",2621,15.2,0.135,0.121,395,84.6,16.9,2522,87.5,86.59,93,363,36,-0.9,5.59,0.79,-0.79
60,154,518633,"Duffy, Danny",1009,15.3,0.147,0.13,154,87.1,22.3,2334,89.2,89.97,43,140,14,0.8,6.76,0.76,-0.76
61,331,663556,"McClanahan, Shane",1954,16.9,0.159,0.139,329,88.3,7.9,2373,90.9,91.74,109,306,25,0.8,6.79,0.71,-0.71
62,357,607644,"Means, John",2328,15.3,0.155,0.137,354,84.4,21.9,2333,86.9,86.46,86,331,26,-0.4,6.14,0.45,-0.45
63,45,476595,"Luetge, Lucas",1241,3.6,0.131,0.118,45,84.2,16.3,2624,82.8,82.72,13,41,4,-0.1,6.22,0.43,-0.43
64,356,543243,"Gray, Sonny",2228,16.0,0.115,0.115,353,83.5,8.7,2451,88.3,88.58,73,289,67,0.3,6.5,-0.57,0.57
65,282,650644,"Civale, Aaron",1909,14.8,0.165,0.156,278,84.4,11.0,2440,86.0,85.36,55,258,24,-0.6,5.73,-0.68,0.68
66,209,643377,"Jax, Griffin",1394,15.0,0.165,0.133,205,87.8,23.4,2459,88.0,87.38,44,195,14,-0.6,5.84,-0.69,0.69
67,423,623167,"Flexen, Chris",2811,15.0,0.163,0.144,416,87.3,13.6,2103,87.7,87.2,70,394,29,-0.5,5.97,-0.76,0.76
68,343,668676,"Plesac, Zach",2205,15.6,0.155,0.142,339,87.5,14.1,1895,87.8,87.83,69,326,17,0.0,6.17,-0.76,0.76
69,397,669203,"Burnes, Corbin",2594,15.3,0.098,0.092,394,83.1,9.5,2739,92.0,92.45,139,345,52,0.4,6.4,-0.78,0.78
70,173,672578,"Hernández, Carlos",1434,12.1,0.186,0.162,172,89.7,18.2,2216,91.7,92.65,41,166,7,1.0,6.79,-0.79,0.79
71,239,669212,"Morgan, Eli",1414,16.9,0.17,0.15,236,85.9,20.9,2176,84.4,84.29,59,224,15,-0.1,6.11,-0.82,0.82
72,466,621111,"Buehler, Walker",3152,14.8,0.131,0.123,456,84.3,8.4,2547,90.7,90.65,122,421,45,-0.1,6.38,-0.9,0.9
73,416,543475,"Lyles, Jordan",2964,14.0,0.165,0.148,408,86.4,15.4,2409,87.6,88.26,96,390,26,0.7,6.72,-0.92,0.92
74,174,596133,"Weaver, Luke",1109,15.7,0.177,0.153,170,85.8,11.2,2218,90.3,89.73,43,162,12,-0.6,5.95,-0.97,0.97
75,438,573186,"Stroman, Marcus",2741,16.0,0.187,0.17,426,85.3,2.7,2317,88.7,88.29,96,399,39,-0.4,5.83,-1.06,1.06
76,135,656876,"Rasmussen, Drew",1202,11.2,0.172,0.165,134,89.3,6.5,2466,92.7,93.11,24,124,11,0.4,6.51,-1.11,1.11
77,240,660623,"Ynoa, Huascar",1482,16.2,0.133,0.126,237,85.8,5.0,2283,90.5,90.32,67,214,26,-0.2,6.11,-1.11,1.11
