,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
172,447,645261,"Alcantara, Sandy",3095,14.4,0.131,0.129,440,84.0,1.0,2233,94.7,93.99,130,427,20,-0.7,5.97,-2.34,2.34
173,78,622503,"Crismatt, Nabil",1337,5.8,0.128,0.125,76,81.6,6.9,1721,82.8,83.92,18,73,5,1.1,7.06,-2.35,2.35
174,308,572070,"Richards, Garrett",2331,13.2,0.168,0.158,304,88.0,10.7,2593,90.8,90.35,70,289,19,-0.4,5.96,-2.38,2.38
175,31,608723,"Voth, Austin",1021,3.0,0.103,0.106,30,82.8,9.9,2585,88.2,87.82,12,30,1,-0.4,6.15,-2.42,2.42
176,334,664141,"Brubaker, JT",1944,17.2,0.142,0.135,328,84.2,10.3,2426,89.7,88.84,77,292,42,-0.9,5.89,-2.42,2.42
177,149,663765,"Woodford, Jake",1156,12.9,0.156,0.146,144,87.7,15.0,2211,87.2,87.34,27,139,10,0.1,6.34,-2.44,2.44
178,250,621107,"Eflin, Zach",1615,15.5,0.14,0.134,248,84.7,12.1,2045,89.1,89.91,55,224,26,0.8,6.75,-2.45,2.45
179,199,669060,"Wilson, Bryse",1136,17.5,0.196,0.17,194,84.5,15.2,1944,90.0,90.58,33,190,9,0.6,6.57,-2.47,2.47
180,178,642203,"Widener, Taylor",1216,14.6,0.139,0.123,175,85.7,16.5,2092,89.3,89.84,48,164,14,0.5,6.59,-2.48,2.48
181,191,656427,"Flaherty, Jack",1353,14.1,0.165,0.143,187,87.1,12.1,2304,88.5,88.85,50,170,21,0.4,6.72,-2.5,2.5
182,292,456501,"Cueto, Johnny",1878,15.5,0.159,0.15,283,82.9,12.9,1978,87.6,85.9,72,276,16,-1.7,5.74,-2.51,2.51
183,373,622608,"Senzatela, Antonio",2405,15.5,0.177,0.166,367,86.5,6.4,2088,90.3,90.45,74,355,18,0.1,6.13,-2.55,2.55
184,365,642547,"Peralta, Freddy",2356,15.5,0.099,0.093,363,84.4,23.0,2266,87.6,84.8,126,318,47,-2.8,7.19,-2.55,2.55
185,310,621076,"Kaprielian, James",2024,15.3,0.142,0.121,307,86.4,21.1,1999,89.0,88.54,90,291,19,-0.5,5.97,-2.56,2.56
186,172,670912,"Oviedo, Johan",1086,15.8,0.135,0.129,170,83.7,3.1,2368,89.8,91.44,38,162,10,1.6,7.14,-2.57,2.57
187,291,663978,"Paddack, Chris",1869,15.6,0.18,0.16,282,85.7,6.3,2060,89.6,90.16,73,274,17,0.6,6.75,-2.59,2.59
188,113,650633,"King, Michael",1009,11.2,0.197,0.168,111,86.5,6.1,2331,90.8,90.51,24,105,8,-0.3,6.22,-2.59,2.59
189,462,592332,"Gausman, Kevin",3002,15.4,0.141,0.13,457,85.5,12.1,1953,89.6,89.28,164,434,28,-0.3,6.48,-2.59,2.59
190,84,489334,"Stammen, Craig",1308,6.4,0.132,0.125,83,86.7,1.8,2262,88.6,89.14,21,82,2,0.5,6.68,-2.62,2.62
191,30,670950,"Richards, Trevor",1061,2.8,0.078,0.071,29,87.9,26.4,2242,88.7,89.02,14,29,1,0.3,6.45,-2.63,2.63
192,37,612434,"Castro, Miguel",1228,3.0,0.171,0.168,37,85.2,8.4,2430,91.6,89.84,5,34,3,-1.8,6.61,-2.63,2.63
193,267,666201,"Manoah, Alek",1845,14.5,0.111,0.102,265,84.4,17.4,2258,89.3,89.74,89,250,17,0.4,6.59,-2.65,2.65
194,252,607231,"Gant, John",1975,12.8,0.153,0.146,247,86.6,8.5,2214,86.4,85.68,50,228,24,-0.7,6.28,-2.66,2.66
195,275,605452,"Ross, Joe",1700,16.2,0.131,0.122,270,82.3,9.6,2006,89.8,89.65,72,250,25,-0.2,6.59,-2.76,2.76
196,271,453562,"Arrieta, Jake",1746,15.5,0.161,0.148,262,86.7,5.0,2182,88.3,87.56,51,247,24,-0.7,5.85,-2.77,2.77
197,450,622491,"Castillo, Luis",3164,14.2,0.138,0.136,443,84.6,1.2,2147,92.0,90.49,130,419,31,-1.5,5.55,-2.81,2.81
198,171,656557,"Houck, Tanner",1149,14.9,0.155,0.143,170,84.2,12.0,2222,90.3,88.48,57,154,17,-1.8,6.13,-2.91,2.91
199,312,668678,"Gallen, Zac",2102,14.8,0.144,0.129,307,85.2,13.4,2185,89.4,89.89,89,278,34,0.5,6.66,-3.07,3.07
200,399,458681,"Lynn, Lance",2608,15.3,0.114,0.105,397,86.2,20.1,2383,91.6,91.88,123,367,32,0.3,6.36,-3.09,3.09
201,273,621219,"Mills, Alec",1936,14.1,0.175,0.172,268,84.7,5.3,2144,83.8,83.08,58,256,17,-0.7,6.03,-3.2,3.2
202,451,621244,"Berríos, José",3043,14.8,0.143,0.126,446,85.0,11.8,2145,89.5,88.87,116,404,47,-0.6,6.4,-3.23,3.23
203,417,453286,"Scherzer, Max",2821,14.8,0.113,0.099,414,84.3,20.3,2238,89.2,89.13,167,389,28,-0.1,6.27,-3.27,3.27
204,27,643256,"Cimber, Adam",1022,2.6,0.201,0.175,26,87.2,-6.4,2212,84.9,84.48,5,26,1,-0.4,6.36,-3.59,3.59
