"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2021-10-03","102.3","-0.48","6.16","Clase, Emmanuel",663993,661403,,"ball",,,,,"14","Nathaniel Lowe strikes out swinging.","R","L","R","TEX","CLE","B",,,"0","0",2021,"0.11","1.14","1.27","2.38",,,,"1","9","Bot",,,,,"595978",,,4.670553329833186,-148.78968555827478,-8.193771866086257,0.5541944391834935,34.915267755563484,-13.4566721675474,"3.45","1.65",,,,"102.6","2635","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.05",,,,,,,,"70","1","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","185","0","0.026"
"SL","2021-10-03","93.6","-0.55","6.11","Clase, Emmanuel",666969,661403,"field_out","hit_into_play",,,,,"14","Adolis Garcia grounds out, shortstop Amed Rosario to first baseman Yu Chang.","R","R","R","TEX","CLE","X","6","ground_ball","1","2",2021,"0.45","-0.06","0.17","1.37",,,,"0","9","Bot",108.68,157.73,,,"595978",,,0.8495968609030893,-136.29708301874635,-6.392838934668684,5.477468611535567,30.331165820115224,-31.750489470183044,"3.41","1.56","9","76.6","-8","94","2579","6.5",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.01","0.083","0.079","0","1","0","0","2","69","5","Slider","0","6","0","6","6","0","0","6","Standard","Standard","97","-0.002","-0.173"
"SL","2021-10-03","93.0","-0.47","6.17","Clase, Emmanuel",666969,661403,,"ball",,,,,"14","Adolis Garcia grounds out, shortstop Amed Rosario to first baseman Yu Chang.","R","R","R","TEX","CLE","B",,,"0","2",2021,"0.42","0.46","1.00","0.78",,,,"0","9","Bot",,,,,"595978",,,2.8658061591053285,-135.1257513220317,-9.059010606740415,4.454724112595024,30.24177096936127,-24.684188620692943,"3.17","1.6",,,,"93.2","2615","6.6",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","53.95",,,,,,,,"69","4","Slider","0","6","0","6","6","0","0","6","Standard","Standard","79","0","0.022"
"FC","2021-10-03","100.8","-0.82","6.25","Clase, Emmanuel",666969,661403,,"foul",,,,,"14","Adolis Garcia grounds out, shortstop Amed Rosario to first baseman Yu Chang.","R","R","R","TEX","CLE","S",,,"0","2",2021,"-0.01","0.95","0.84","2.46",,,,"0","9","Bot",,,,,"595978",,,4.627111398077884,-146.60876317732325,-7.489691033911697,-1.183056483765052,33.03895284261651,-16.88825855211195,"3.41","1.56","237","83.3","23","101.2","2717","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.08",,,,,,,,"69","3","Cutter","0","6","0","6","6","0","0","6","Strategic","Standard","181","0","0"
"SL","2021-10-03","91.0","-0.61","6.21","Clase, Emmanuel",666969,661403,,"foul",,,,,"8","Adolis Garcia grounds out, shortstop Amed Rosario to first baseman Yu Chang.","R","R","R","TEX","CLE","S",,,"0","1",2021,"0.63","0.49","-0.11","1.74",,,,"0","9","Bot",,,,,"595978",,,-0.09631944831678246,-132.37567616203285,-6.283740762481249,7.331967988393555,31.93982075552965,-25.19151515882342,"3.41","1.56","21","53.1","-2","90.5","2687","6.3",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.2",,,,,,,,"69","2","Slider","0","6","0","6","6","0","0","6","Standard","Standard","75","0","-0.052"
"FC","2021-10-03","101.1","-0.57","6.2","Clase, Emmanuel",666969,661403,,"swinging_strike",,,,,"1","Adolis Garcia grounds out, shortstop Amed Rosario to first baseman Yu Chang.","R","R","R","TEX","CLE","S",,,"0","0",2021,"0.36","1.08","-0.35","2.89",,,,"0","9","Bot",,,,,"595978",,,-0.2455661731330579,-147.05877233575626,-6.459878033294173,5.286534570008351,36.9439668025685,-15.13755329800934,"3.41","1.56",,,,"101","2652","6.4",632236,661403,"595978","644374","665926","608070","642708","640458","664702","605548","54.1",,,,,,,,"69","1","Cutter","0","6","0","6","6","0","0","6","Standard","Standard","178","0","-0.038"
"SL","2021-09-30","95.2","-0.35","6.25","Clase, Emmanuel",593160,661403,"field_out","hit_into_play",,,,,"6","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","X","9","fly_ball","2","2",2021,"0.34","0.38","0.64","2.53",,,"572191","2","9","Bot",195.12,116.79,,,"595978",,,1.853143843087211,-138.75941725007675,-5.098804365959707,4.093528549667881,26.815278384895826,-26.351208437679542,"3.41","1.56","266","80.6","40","96.2","2468","6.4",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.05","0.011","0.01","0","1","0","0","3","76","6","Slider","1","6","1","6","6","1","1","6","Standard","Strategic","99","-0.001","-0.192"
"FC","2021-09-30","101.1","-0.4","6.29","Clase, Emmanuel",593160,661403,,"foul",,,,,"5","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","S",,,"2","2",2021,"0.07","1.15","0.20","2.45",,,"572191","2","9","Bot",,,,,"595978",,,1.4935187118447721,-147.15303338538854,-8.154830665344292,0.7509570803117179,32.6323659760577,-13.794945181925259,"3.41","1.56","3","51.0","-36","101.2","2559","6.2",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.33",,,,,,,,"76","5","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","182","-0.001","0"
"FC","2021-09-30","100.7","-0.58","6.23","Clase, Emmanuel",593160,661403,,"foul_tip",,,,,"8","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","S",,,"2","1",2021,"0.13","0.95","0.19","1.99",,,"572191","2","9","Bot",,,,,"595978",,,1.8141394282293506,-146.61514343003986,-8.62333690238084,1.4365033894871586,31.90861430383905,-16.73937031793792,"3.41","1.56",,,,"99.7","2543","5.5",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.95",,,,,,,,"76","4","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","181","-0.001","-0.063"
"FC","2021-09-30","101.1","-0.59","6.21","Clase, Emmanuel",593160,661403,,"ball",,,,,"14","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","B",,,"1","1",2021,"0.09","0.9","0.32","0.88",,,"572191","2","9","Bot",,,,,"595978",,,2.323519374680105,-146.95287121511805,-11.66437573927644,0.7552427014417088,31.80240263949535,-16.731203139128514,"3.38","1.54",,,,"101.2","2480","6.2",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.28",,,,,,,,"76","3","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","186","-0.001","0.041"
