"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-10-01","98.5","-1.34","5.92","Hendriks, Liam",663662,521230,,"swinging_strike",,,,,"5","Daz Cameron called out on strikes.","R","R","R","CWS","DET","S",,,"3","1",2021,"-0.26","1.66","0.25","2.33",,,,"2","9","Top",,,,,"518735",,,4.968963965412684,-143.2507756029085,-8.223219733778093,-4.759542169965374,33.82857451844683,-7.589339772135183,"3.4","1.6",,,,"99.3","2408","6.8",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.67",,,,,,,,"78","5","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","203","0","-0.027"
"FF","2021-10-01","97.7","-1.32","6.02","Hendriks, Liam",663662,521230,,"ball",,,,,"11","Daz Cameron called out on strikes.","R","R","R","CWS","DET","B",,,"2","1",2021,"-0.61","1.28","-1.44","3.29",,,,"2","9","Top",,,,,"518735",,,1.09906400538069,-142.31721989211644,-4.884286431141395,-8.538618820243032,30.88073363016472,-13.809747580006674,"3.48","1.7",,,,"99.1","2356","6.9",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.59",,,,,,,,"78","4","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","194","0","0.042"
"FF","2021-10-01","98.4","-1.24","6.07","Hendriks, Liam",663662,521230,,"ball",,,,,"11","Daz Cameron called out on strikes.","R","R","R","CWS","DET","B",,,"1","1",2021,"-0.26","1.26","-0.42","3.73",,,,"2","9","Top",,,,,"518735",,,2.8786161592578154,-143.3538917408967,-3.9224974578393037,-4.235130658513463,30.748350975669485,-14.02502265409919,"3.48","1.66",,,,"100","2329","7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.53",,,,,,,,"78","3","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","191","0","0.02"
"FF","2021-10-01","98.2","-1.39","5.96","Hendriks, Liam",663662,521230,,"ball",,,,,"12","Daz Cameron called out on strikes.","R","R","R","CWS","DET","B",,,"0","1",2021,"-0.47","1.29","1.49","3.12",,,,"2","9","Top",,,,,"518735",,,8.984655212982782,-142.7552700752266,-5.328495552593492,-8.343659585790213,30.568054633607996,-13.378423595285605,"3.36","1.5",,,,"99.8","2313","7.1",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.44",,,,,,,,"78","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","201","0","0.014"
"FF","2021-10-01","98.9","-1.22","6.04","Hendriks, Liam",663662,521230,,"foul",,,,,"2","Daz Cameron called out on strikes.","R","R","R","CWS","DET","S",,,"0","0",2021,"-0.32","1.49","-0.09","2.95",,,,"2","9","Top",,,,,"518735",,,3.872215291601722,-143.96395707103127,-6.537949667572631,-5.424522479830552,33.88290827422002,-10.171856211532923,"3.4","1.6","173","82.6","13","100.1","2429","6.9",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.56",,,,,,,,"78","1","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","203","0","-0.018"
"CU","2021-10-01","86.3","-1.44","5.9","Hendriks, Liam",592348,521230,"strikeout","swinging_strike",,,,,"14","Niko Goodrum strikes out swinging.","R","L","R","CWS","DET","S","2",,"0","2",2021,"0.3","-0.44","0.12","1.33",,,,"1","9","Top",,,,,"518735",,,3.1291687661137586,-125.67880996795054,-3.80883512494308,2.5176089400048145,24.966817002770615,-36.33741728845703,"3.49","1.6",,,,"87.1","2190","6.7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.77",,,"0","1","0","0",,"77","3","Curveball","8","1","1","8","1","8","1","8","Infield shift","Strategic","30","0","-0.101"
"FF","2021-10-01","99.3","-1.25","6","Hendriks, Liam",592348,521230,,"foul",,,,,"2","Niko Goodrum strikes out swinging.","R","L","R","CWS","DET","S",,,"0","1",2021,"-0.3","1.48","-0.07","3.34",,,,"1","9","Top",,,,,"518735",,,3.9736233039789095,-144.51701748895124,-5.349523988524679,-5.203001955215791,35.42539551514802,-10.366775255791483,"3.49","1.6","136","88.9","72","99.7","2456","6.6",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.89",,,,,,,,"77","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Infield shift","Standard","200","0","-0.035"
"FF","2021-10-01","99.5","-1.42","5.97","Hendriks, Liam",592348,521230,,"foul",,,,,"2","Niko Goodrum strikes out swinging.","R","L","R","CWS","DET","S",,,"0","0",2021,"-0.43","1.44","-0.10","2.92",,,,"1","9","Top",,,,,"518735",,,4.64713575189729,-144.6737237363619,-6.355424710169702,-7.081535001369568,34.84690198197899,-10.66389482677949,"3.49","1.6","258","86.6","53","100","2514","6.7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.8",,,,,,,,"77","1","4-Seam Fastball","8","1","1","8","1","8","1","8","Infield shift","Standard","202","0","-0.027"
"FF","2021-10-01","98.0","-1.47","5.84","Hendriks, Liam",606992,521230,"strikeout","called_strike",,,,,"8","Eric Haase called out on strikes.","R","R","R","CWS","DET","S","2",,"2","2",2021,"-0.4","1.4","0.00","1.79",,,,"0","9","Top",,,,,"518735",,,4.9529581436635635,-142.41248586422083,-8.757984772828085,-6.558281677344295,34.425235163660844,-11.220096821745036,"3.25","1.57",,,,"98.9","2413","7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.53",,,"0","1","0","0",,"76","5","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","200","0.001","-0.216"
"FF","2021-10-01","98.8","-1.41","5.91","Hendriks, Liam",606992,521230,,"foul_tip",,,,,"5","Eric Haase called out on strikes.","R","R","R","CWS","DET","S",,,"2","1",2021,"-0.46","1.57","0.19","2.41",,,,"0","9","Top",,,,,"518735",,,5.495288865489677,-143.6148078939492,-7.804529504616329,-7.703638149695505,33.96342352294891,-8.849658180813154,"3.3","1.5",,,,"99.7","2479","6.9",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.61",,,,,,,,"76","4","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","204","0","-0.066"
"FF","2021-10-01","98.4","-1.44","5.9","Hendriks, Liam",606992,521230,,"ball",,,,,"12","Eric Haase called out on strikes.","R","R","R","CWS","DET","B",,,"1","1",2021,"-0.46","1.53","1.33","2.65",,,,"0","9","Top",,,,,"518735",,,8.695582507005225,-142.9116284658563,-6.943407322377364,-8.372256021157561,34.365574343658444,-9.723482552855998,"3.13","1.43",,,,"99.3","2391","7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.53",,,,,,,,"76","3","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","202","0","0.052"
"FF","2021-10-01","98.6","-1.25","6.01","Hendriks, Liam",606992,521230,,"ball",,,,,"12","Eric Haase called out on strikes.","R","R","R","CWS","DET","B",,,"0","1",2021,"-0.01","1.52","1.25","3.45",,,,"0","9","Top",,,,,"518735",,,6.847922308233988,-143.3069429014225,-5.031754688696576,-1.7960182503713396,35.023121147545254,-10.33577402384472,"3.3","1.46",,,,"99","2341","6.7",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.79",,,,,,,,"76","2","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","197","0","0.027"
"FF","2021-10-01","98.5","-1.47","5.96","Hendriks, Liam",606992,521230,,"foul",,,,,"5","Eric Haase called out on strikes.","R","R","R","CWS","DET","S",,,"0","0",2021,"-0.33","1.81","-0.08","2.16",,,,"0","9","Top",,,,,"518735",,,4.592003607788626,-143.25104193840394,-9.165677757396896,-5.547246545981941,30.840003981463493,-5.330756725246415,"3.3","1.5","224","76.7","42","99.6","2368","6.8",632274,521230,"518735","547989","514917","660162","641313","571740","673357","544725","53.72",,,,,,,,"76","1","4-Seam Fastball","8","1","1","8","1","8","1","8","Standard","Standard","206","0","-0.038"
"SL","2021-09-27","90.4","-1.54","5.85","Hendriks, Liam",592348,521230,"strikeout","called_strike",,,,,"14","Niko Goodrum called out on strikes.","R","L","R","DET","CWS","S","2",,"1","2",2021,"0.19","0.27","1.06","2.17",,,"600869","2","9","Bot",,,,,"641470",,,6.200320406745714,-131.58663221759545,-3.8688795601225516,0.9206612620339608,27.713811568492837,-28.461155432572955,"3.66","1.77",,,,"92","2271","7.2",632393,521230,"641470","547989","514917","660162","544725","571740","673357","683734","53.27",,,"0","1","0","0",,"85","4","Slider","7","8","7","8","8","7","7","8","Standard","Standard","124","-0.096","-0.155"
"FF","2021-09-27","99.4","-1.54","5.9","Hendriks, Liam",592348,521230,,"called_strike",,,,,"13","Niko Goodrum called out on strikes.","R","L","R","DET","CWS","S",,,"1","1",2021,"-0.18","1.53","-0.93","2.57",,,"600869","2","9","Bot",,,,,"641470",,,2.1375067100209906,-144.63145558890616,-7.425253459765824,-3.075811021166178,31.637442951597613,-9.177599649449494,"3.7","1.81",,,,"101.1","2510","7.1",632393,521230,"641470","547989","514917","660162","544725","571740","673357","683734","53.41",,,,,,,,"85","3","4-Seam Fastball","7","8","7","8","8","7","7","8","Standard","Standard","197","-0.096","-0.059"
"FF","2021-09-27","98.6","-1.64","5.79","Hendriks, Liam",592348,521230,,"called_strike",,,,,"5","Niko Goodrum called out on strikes.","R","L","R","DET","CWS","S",,,"1","0",2021,"-0.37","1.62","-0.13","2.43",,,"600869","2","9","Bot",,,,,"641470",,,5.014795613660861,-143.37839201396233,-7.553894400267603,-6.235094358602419,32.80373137629258,-8.301070822302645,"3.67","1.74",,,,"100.1","2469","7.1",632393,521230,"641470","547989","514917","660162","544725","571740","673357","683734","53.38",,,,,,,,"85","2","4-Seam Fastball","7","8","7","8","8","7","7","8","Standard","Standard","204","-0.096","-0.048"
"FF","2021-09-27","99.0","-1.51","5.87","Hendriks, Liam",592348,521230,,"ball",,,,,"13","Niko Goodrum called out on strikes.","R","L","R","DET","CWS","B",,,"0","0",2021,"-0.39","1.57","-1.14","2.06",,,"600869","2","9","Bot",,,,,"641470",,,1.9438913397009308,-143.95386729635402,-8.76046199194164,-5.9274443345556085,33.84938403578157,-8.496051134768088,"3.69","1.67",,,,"100.2","2465","7",632393,521230,"641470","547989","514917","660162","544725","571740","673357","683734","53.45",,,,,,,,"85","1","4-Seam Fastball","7","8","7","8","8","7","7","8","Standard","Standard","200","-0.096","0.036"
"SL","2021-09-27","90.5","-1.51","5.84","Hendriks, Liam",606992,521230,"strikeout","swinging_strike",,,,,"14","Eric Haase strikes out swinging.","R","R","R","DET","CWS","S","2",,"2","2",2021,"0.34","0.28","0.92","0.81",,,"600869","1","9","Bot",,,,,"641470",,,5.4098842466607575,-131.60955318217037,-7.301108422260919,2.8130644955945883,28.474415294494435,-27.498980910983867,"3.3","1.5",,,,"91.7","2252","7.1",632393,521230,"641470","547989","514917","660162","544725","571740","673357","683734","53.39",,,"0","1","0","0",,"84","5","Slider","7","8","7","8","8","7","7","8","Standard","Standard","188","-0.11","-0.261"
