pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point_ft
101,592332,"Gausman, Kevin",3002,3.4,0,0,0,0,0,0.147,0.131,0,100,86,14.7,1889,88.7,88.25,33,99,2,-0.5,6.51,115,158,119,150,298,324,294,-2.63
159,612434,"Castro, Miguel",1228,12.9,0,0,0,0,0,0.126,0.112,0,159,83.4,9,2525,91,91.41,49,142,17,0.4,6.63,112,154,118,149,298,325,300,-2.66
139,608648,"Duffey, Tyler",1053,13.2,0,0,0,0,0,0.146,0.13,0,139,89.8,9.6,2397,87,87.06,34,125,14,0.1,6.3,105,154,116,148,299,329,295,-2.76
132,489265,"Romo, Sergio",1043,12.7,0,0,0,0,0,0.125,0.115,0,132,80.6,17.6,2591,79.3,79.32,35,124,8,0,6.42,112,149,123,149,300,327,299,-2.94
179,595014,"Treinen, Blake",1095,16.3,0,0,0,0,0,0.118,0.114,0,178,82.2,11.7,2405,91.9,90.3,57,165,14,-1.6,5.55,112,156,119,149,300,317,292,-3.07
196,543766,"Shaw, Bryan",1367,14.3,0,0,0,0,0,0.155,0.141,0,196,86.5,6.5,2387,90.3,89.47,49,184,12,-0.8,5.71,110,152,122,150,291,317,293,-3.2
104,621244,"Berríos, José",3043,3.4,0,0,0,0,0,0.161,0.154,0,102,86.7,8.1,2179,89.5,89.53,32,95,9,0,6.45,109,155,122,149,296,327,295,-3.28
103,453286,"Scherzer, Max",2821,3.7,0,0,0,0,0,0.105,0.097,0,103,86.5,25.1,2249,89.9,90,34,98,5,0.1,6.33,111,156,123,150,298,318,294,-3.28
103,571670,"Floro, Dylan",1076,9.6,0,0,0,0,0,0.157,0.139,0,103,83.4,18.9,2091,90.7,90.46,19,92,11,-0.2,6.3,109,150,116,149,300,320,290,-3.37
148,518553,"Cishek, Steve",1255,11.8,0,0,0,0,0,0.144,0.125,0,144,83.6,11.1,2355,86.5,88.29,31,132,16,1.8,7.55,109,154,119,147,302,324,296,-3.37
134,643256,"Cimber, Adam",1022,13.1,0,0,0,0,0,0.155,0.143,0,133,84.6,6.9,2259,84.6,82.32,28,130,4,-2.3,6.34,105,152,123,147,294,314,289,-3.67
127,623149,"Sewald, Paul",1104,11.5,0,0,0,0,0,0.09,0.076,0,127,83.4,24.5,2370,88.6,88.16,54,109,18,-0.4,6.46,115,156,121,149,296,320,293,-3.85
163,643511,"Rogers, Tyler",1129,14.4,0,0,0,0,0,0.145,0.142,0,161,82.7,8,2058,77.1,71.66,33,151,12,-5.4,5.91,110,150,113,149,296,321,293,-4
