pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
391,605200,"Davies, Zach",2577,15.2,0,0,0,0,0,0.177,0.166,0,382,84.6,10.2,1915,83,82.84,79,363,28,-0.2,6.15,109,154,118,149,295,321,294,-1.82
465,641816,"Mahle, Tyler",3196,14.5,0,0,0,0,0,0.109,0.107,0,454,83.2,9.7,2284,90.9,91.06,144,411,54,0.2,6.6,113,153,122,148,292,316,289,-1.82
255,641927,"Ober, Bailey",1476,17.3,0,0,0,0,0,0.144,0.125,0,253,86,21.1,2143,87.7,89.61,78,238,17,1.9,7.35,106,157,118,149,297,328,293,-1.84
234,570632,"Ureña, José",1695,13.8,0,0,0,0,0,0.211,0.191,0,233,88.6,8.8,2097,91.6,91.67,43,227,7,0.1,6.32,109,153,118,148,300,327,298,-1.85
296,663474,"McKenzie, Triston",1975,15,0,0,0,0,0,0.139,0.127,0,296,87.5,23.8,2224,88.8,89.69,97,277,19,0.9,6.78,114,155,123,150,294,318,292,-1.85
188,680686,"Gray, Josiah",1213,15.5,0,0,0,0,0,0.117,0.103,0,181,83.5,20.2,2264,89.9,88.8,57,179,9,-1.1,5.49,109,153,122,145,299,320,293,-1.87
393,592836,"Walker, Taijuan",2547,15.4,0,0,0,0,0,0.155,0.139,0,388,85.7,11.9,2090,91.1,90.1,86,352,41,-1,6.01,113,157,116,149,299,327,298,-1.87
194,446372,"Kluber, Corey",1338,14.5,0,0,0,0,0,0.12,0.114,0,190,82.8,15.6,2266,86,86.32,53,171,23,0.3,6.48,110,153,123,148,298,324,289,-1.88
352,657277,"Webb, Logan",2214,15.9,0,0,0,0,0,0.136,0.132,0,346,85.1,-3.4,2101,87.6,87.91,111,324,28,0.3,6.75,112,155,117,149,298,321,294,-1.89
141,533167,"Shoemaker, Matt",1064,13.3,0,0,0,0,0,0.159,0.133,0,136,83.9,10.1,1714,86.3,85.95,30,139,2,-0.3,6.11,107,156,116,150,300,333,297,-1.89
235,666159,"Manning, Matt",1421,16.5,0,0,0,0,0,0.182,0.171,0,231,88.3,11.3,2006,89.6,90.61,39,220,15,1,6.86,109,157,121,149,294,324,298,-1.89
312,660271,"Ohtani, Shohei",2027,15.4,0,0,0,0,0,0.122,0.114,0,308,85.2,11.8,2021,89,89.74,104,289,23,0.7,6.8,115,158,120,150,303,324,298,-1.93
196,672715,"Patiño, Luis",1365,14.4,0,0,0,0,0,0.155,0.132,0,193,87.8,24.9,2432,92.5,93.18,51,188,8,0.7,6.77,107,157,119,149,297,322,295,-1.95
428,543037,"Cole, Gerrit",2969,14.4,0,0,0,0,0,0.127,0.109,0,423,86.8,14.2,2405,92.3,92.36,139,377,51,0.1,6.52,112,154,124,148,296,325,290,-1.96
385,592351,"Gray, Jon",2537,15.2,0,0,0,0,0,0.122,0.117,0,380,84.8,8.2,2262,89.8,90.28,102,342,43,0.5,6.38,112,152,123,148,297,328,302,-1.97
377,663554,"Mize, Casey",2357,16,0,0,0,0,0,0.167,0.144,0,372,86.2,8.5,2050,89.7,90.4,77,351,26,0.7,6.87,108,155,120,149,298,327,300,-1.98
52,605242,"Fulmer, Michael",1183,4.4,0,0,0,0,0,0.137,0.13,0,52,84.1,9.3,2160,92.2,92.62,9,49,3,0.4,6.62,112,153,119,152,298,329,298,-1.99
205,593372,"Martínez, Carlos",1281,16,0,0,0,0,0,0.196,0.171,0,202,84.9,6.2,2020,88.1,87.14,40,194,11,-1,5.6,116,156,120,148,295,314,295,-2
234,502171,"Cobb, Alex",1579,14.8,0,0,0,0,0,0.155,0.155,0,231,86.6,-0.2,1912,89.7,88.92,53,204,30,-0.8,5.81,114,157,122,149,303,325,298,-2.01
229,592866,"Williams, Trevor",1537,14.9,0,0,0,0,0,0.134,0.127,0,225,84.1,9,2155,88,88.76,59,209,20,0.8,6.82,113,155,116,149,298,321,295,-2.03
70,663986,"Stephan, Trevor",1210,5.8,0,0,0,0,0,0.154,0.134,0,70,86.1,12.4,2350,90.3,90.97,24,66,4,0.7,6.61,110,154,125,150,295,318,291,-2.05
233,605164,"Bundy, Dylan",1524,15.3,0,0,0,0,0,0.147,0.133,0,228,84.9,14.2,2356,85.9,85,48,207,26,-0.9,5.91,115,158,120,149,304,325,299,-2.06
458,450203,"Morton, Charlie",2987,15.3,0,0,0,0,0,0.135,0.122,0,447,85.1,4.6,2656,88,87.58,129,409,49,-0.4,6.27,110,152,128,147,300,321,294,-2.06
323,592314,"Foltynewicz, Mike",2236,14.4,0,0,0,0,0,0.141,0.129,0,317,86.1,17.4,2184,89.1,88.4,50,291,32,-0.7,6.14,114,155,125,147,300,327,295,-2.08
419,502043,"Gibson, Kyle",2881,14.5,0,0,0,0,0,0.149,0.143,0,414,87.1,5.4,2204,88.4,88.78,86,382,37,0.4,6.64,113,154,121,148,295,324,294,-2.08
288,661269,"Gutierrez, Vladimir",1831,15.7,0,0,0,0,0,0.144,0.132,0,280,85.4,11.9,2196,86.4,86.7,57,275,13,0.3,6.52,112,152,118,148,291,317,289,-2.08
63,621249,"Underwood Jr., Duane",1177,5.4,0,0,0,0,0,0.155,0.135,0,62,86.9,-2.4,2055,88.4,88.81,17,58,5,0.4,6.52,107,148,118,146,299,319,289,-2.09
320,669302,"Gilbert, Logan",2125,15.1,0,0,0,0,0,0.141,0.119,0,315,86,21.6,2197,90.7,92.37,103,302,18,1.7,7.44,112,155,120,148,293,321,294,-2.09
455,543135,"Eovaldi, Nathan",2927,15.5,0,0,0,0,0,0.136,0.125,0,452,85.7,15.4,2042,89.8,90.51,126,414,41,0.7,6.69,112,156,125,150,290,325,297,-2.11
436,543294,"Hendricks, Kyle",2809,15.5,0,0,0,0,0,0.163,0.16,0,428,82.5,9.7,2021,83.5,81.66,74,399,37,-1.8,5.78,112,156,118,150,296,321,295,-2.11
312,641540,"Dunning, Dane",1909,16.3,0,0,0,0,0,0.156,0.149,0,310,85.5,4.8,2048,86.7,86.74,75,281,31,0,6.51,113,155,124,146,298,326,295,-2.12
173,641771,"Kuhl, Chad",1436,12,0,0,0,0,0,0.128,0.124,0,169,86.1,9.2,2317,89,87.16,46,163,10,-1.8,6.59,110,151,120,147,298,320,290,-2.13
244,641154,"López, Pablo",1669,14.6,0,0,0,0,0,0.124,0.115,0,241,84.4,9.4,2070,90.6,91.28,84,228,16,0.7,6.76,110,152,122,149,295,316,288,-2.17
51,656629,"Kopech, Michael",1154,4.4,0,0,0,0,0,0.087,0.076,0,50,89,15.9,2511,91.9,92.36,22,44,7,0.5,6.54,113,151,119,149,292,317,295,-2.18
353,518774,"Harvey, Matt",2232,15.8,0,0,0,0,0,0.178,0.159,0,349,86.9,13.5,2174,89.4,88.53,63,323,30,-0.9,6.05,110,153,121,148,297,322,296,-2.22
284,628317,"Maeda, Kenta",1775,16,0,0,0,0,0,0.115,0.109,0,282,84.2,16.1,2078,84.9,84.08,88,265,19,-0.8,5.88,106,158,121,149,298,328,292,-2.27
283,501381,"Pineda, Michael",1707,16.6,0,0,0,0,0,0.174,0.163,0,279,88.2,16.2,1914,86.8,86.32,67,269,14,-0.5,6.25,107,158,116,150,300,331,294,-2.34
447,645261,"Alcantara, Sandy",3095,14.4,0,0,0,0,0,0.131,0.129,0,440,84,1,2233,94.7,93.99,130,427,20,-0.7,5.97,111,150,118,149,299,314,284,-2.34
78,622503,"Crismatt, Nabil",1337,5.8,0,0,0,0,0,0.128,0.125,0,76,81.6,6.9,1721,82.8,83.92,18,73,5,1.1,7.06,110,151,128,146,302,319,309,-2.35
308,572070,"Richards, Garrett",2331,13.2,0,0,0,0,0,0.168,0.158,0,304,88,10.7,2593,90.8,90.35,70,289,19,-0.4,5.96,111,156,121,148,295,328,297,-2.38
31,608723,"Voth, Austin",1021,3,0,0,0,0,0,0.103,0.106,0,30,82.8,9.9,2585,88.2,87.82,12,30,1,-0.4,6.15,112,153,122,149,305,324,291,-2.42
334,664141,"Brubaker, JT",1944,17.2,0,0,0,0,0,0.142,0.135,0,328,84.2,10.3,2426,89.7,88.84,77,292,42,-0.9,5.89,112,152,121,149,301,320,290,-2.42
149,663765,"Woodford, Jake",1156,12.9,0,0,0,0,0,0.156,0.146,0,144,87.7,15,2211,87.2,87.34,27,139,10,0.1,6.34,114,155,120,148,297,317,293,-2.44
250,621107,"Eflin, Zach",1615,15.5,0,0,0,0,0,0.14,0.134,0,248,84.7,12.1,2045,89.1,89.91,55,224,26,0.8,6.75,109,152,117,148,296,322,293,-2.45
199,669060,"Wilson, Bryse",1136,17.5,0,0,0,0,0,0.196,0.17,0,194,84.5,15.2,1944,90,90.58,33,190,9,0.6,6.57,107,151,121,148,299,319,292,-2.47
178,642203,"Widener, Taylor",1216,14.6,0,0,0,0,0,0.139,0.123,0,175,85.7,16.5,2092,89.3,89.84,48,164,14,0.5,6.59,107,152,120,150,294,324,295,-2.48
191,656427,"Flaherty, Jack",1353,14.1,0,0,0,0,0,0.165,0.143,0,187,87.1,12.1,2304,88.5,88.85,50,170,21,0.4,6.72,116,157,122,149,296,317,296,-2.5
292,456501,"Cueto, Johnny",1878,15.5,0,0,0,0,0,0.159,0.15,0,283,82.9,12.9,1978,87.6,85.9,72,276,16,-1.7,5.74,108,156,120,149,297,321,295,-2.51
373,622608,"Senzatela, Antonio",2405,15.5,0,0,0,0,0,0.177,0.166,0,367,86.5,6.4,2088,90.3,90.45,74,355,18,0.1,6.13,111,152,121,148,300,331,303,-2.55
365,642547,"Peralta, Freddy",2356,15.5,0,0,0,0,0,0.099,0.093,0,363,84.4,23,2266,87.6,84.8,126,318,47,-2.8,7.19,111,155,123,148,298,320,295,-2.55
310,621076,"Kaprielian, James",2024,15.3,0,0,0,0,0,0.142,0.121,0,307,86.4,21.1,1999,89,88.54,90,291,19,-0.5,5.97,113,150,124,151,299,327,302,-2.56
172,670912,"Oviedo, Johan",1086,15.8,0,0,0,0,0,0.135,0.129,0,170,83.7,3.1,2368,89.8,91.44,38,162,10,1.6,7.14,115,153,116,148,296,317,298,-2.57
291,663978,"Paddack, Chris",1869,15.6,0,0,0,0,0,0.18,0.16,0,282,85.7,6.3,2060,89.6,90.16,73,274,17,0.6,6.75,117,153,136,148,298,322,309,-2.59
113,650633,"King, Michael",1009,11.2,0,0,0,0,0,0.197,0.168,0,111,86.5,6.1,2331,90.8,90.51,24,105,8,-0.3,6.22,109,154,119,148,299,325,287,-2.59
462,592332,"Gausman, Kevin",3002,15.4,0,0,0,0,0,0.141,0.13,0,457,85.5,12.1,1953,89.6,89.28,164,434,28,-0.3,6.48,112,156,121,149,297,322,294,-2.59
84,489334,"Stammen, Craig",1308,6.4,0,0,0,0,0,0.132,0.125,0,83,86.7,1.8,2262,88.6,89.14,21,82,2,0.5,6.68,114,152,129,145,299,322,309,-2.62
30,670950,"Richards, Trevor",1061,2.8,0,0,0,0,0,0.078,0.071,0,29,87.9,26.4,2242,88.7,89.02,14,29,1,0.3,6.45,108,151,119,146,296,319,294,-2.63
37,612434,"Castro, Miguel",1228,3,0,0,0,0,0,0.171,0.168,0,37,85.2,8.4,2430,91.6,89.84,5,34,3,-1.8,6.61,113,155,117,149,300,326,298,-2.63
267,666201,"Manoah, Alek",1845,14.5,0,0,0,0,0,0.111,0.102,0,265,84.4,17.4,2258,89.3,89.74,89,250,17,0.4,6.59,108,153,125,148,295,318,294,-2.65
252,607231,"Gant, John",1975,12.8,0,0,0,0,0,0.153,0.146,0,247,86.6,8.5,2214,86.4,85.68,50,228,24,-0.7,6.28,112,155,119,147,297,320,296,-2.66
275,605452,"Ross, Joe",1700,16.2,0,0,0,0,0,0.131,0.122,0,270,82.3,9.6,2006,89.8,89.65,72,250,25,-0.2,6.59,110,155,123,147,304,322,295,-2.76
271,453562,"Arrieta, Jake",1746,15.5,0,0,0,0,0,0.161,0.148,0,262,86.7,5,2182,88.3,87.56,51,247,24,-0.7,5.85,111,153,117,150,296,322,297,-2.77
450,622491,"Castillo, Luis",3164,14.2,0,0,0,0,0,0.138,0.136,0,443,84.6,1.2,2147,92,90.49,130,419,31,-1.5,5.55,114,152,121,147,290,317,289,-2.81
171,656557,"Houck, Tanner",1149,14.9,0,0,0,0,0,0.155,0.143,0,170,84.2,12,2222,90.3,88.48,57,154,17,-1.8,6.13,112,156,122,149,289,326,300,-2.91
312,668678,"Gallen, Zac",2102,14.8,0,0,0,0,0,0.144,0.129,0,307,85.2,13.4,2185,89.4,89.89,89,278,34,0.5,6.66,110,152,120,150,297,325,295,-3.07
399,458681,"Lynn, Lance",2608,15.3,0,0,0,0,0,0.114,0.105,0,397,86.2,20.1,2383,91.6,91.88,123,367,32,0.3,6.36,112,153,118,150,300,321,296,-3.09
273,621219,"Mills, Alec",1936,14.1,0,0,0,0,0,0.175,0.172,0,268,84.7,5.3,2144,83.8,83.08,58,256,17,-0.7,6.03,107,153,117,150,296,323,297,-3.2
451,621244,"Berríos, José",3043,14.8,0,0,0,0,0,0.143,0.126,0,446,85,11.8,2145,89.5,88.87,116,404,47,-0.6,6.4,110,156,125,149,298,326,296,-3.23
417,453286,"Scherzer, Max",2821,14.8,0,0,0,0,0,0.113,0.099,0,414,84.3,20.3,2238,89.2,89.13,167,389,28,-0.1,6.27,112,156,122,149,296,319,293,-3.27
27,643256,"Cimber, Adam",1022,2.6,0,0,0,0,0,0.201,0.175,0,26,87.2,-6.4,2212,84.9,84.48,5,26,1,-0.4,6.36,109,150,116,148,295,317,291,-3.59
