pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
27,595014,"Treinen, Blake",1095,2.5,0,0,0,0,0,0.089,0.092,0,27,72,12.2,2332,89.8,88.61,8,22,5,-1.2,5.56,122,157,122,151,300,318,293,6.34
25,670950,"Richards, Trevor",1061,2.4,0,0,0,0,0,0.122,0.101,0,25,88.7,28.2,2221,89.4,79,7,24,1,-10.4,6.44,111,154,123,149,297,320,299,6.31
147,453343,"Melancon, Mark",1053,14,0,0,0,0,0,0.159,0.154,0,147,84.8,-5.5,2367,88.7,88.46,30,131,16,-0.2,6.25,116,152,128,146,297,320,310,6.37
80,593576,"Neris, Héctor",1243,6.4,0,0,0,0,0,0.122,0.106,0,78,85.6,16.4,1707,88.5,88.35,26,68,12,-0.2,6.25,112,149,118,147,298,325,293,5.82
52,623149,"Sewald, Paul",1104,4.7,0,0,0,0,0,0.116,0.101,0,52,86.2,25.5,2335,88.4,88.49,20,48,4,0.1,6.43,115,156,119,149,296,321,295,4.57
52,608717,"Stratton, Chris",1374,3.8,0,0,0,0,0,0.083,0.079,0,52,85.1,6.1,2699,88.2,88.9,20,49,3,0.7,6.6,109,150,125,148,300,320,292,5.94
28,429722,"Santana, Ervin",1063,2.6,0,0,0,0,0,0.208,0.159,0,28,92.5,8.9,2268,87.7,87.56,8,27,1,-0.1,5.96,108,159,122,146,300,326,305,6.12
78,605130,"Barlow, Scott",1223,6.4,0,0,0,0,0,0.145,0.131,0,78,85.9,21,2394,87.6,88.53,21,75,3,0.9,6.75,109,157,117,145,300,323,300,5.37
177,519293,"Smith, Will",1079,16.4,0,0,0,0,0,0.119,0.109,0,175,86.6,22.2,2266,96,87.52,62,159,18,0.1,6.3,108,151,122,146,305,322,291,6.68
110,543272,"Hand, Brad",1076,10.2,0,0,0,0,0,0.17,0.151,0,107,84.2,14.5,2342,87,85.7,24,98,12,-1.3,5.55,111,153,117,149,305,322,295,6.22
36,493603,"Ottavino, Adam",1146,3.1,0,0,0,0,0,0.109,0.115,0,35,78.1,12.3,2550,86.9,87.78,15,34,2,0.9,6.91,115,154,122,149,291,324,298,5.53
42,642121,"Sulser, Cole",1070,3.9,0,0,0,0,0,0.16,0.137,0,42,89.7,14.7,1860,86.9,87.35,14,40,2,0.5,6.66,118,157,125,151,296,324,294,5.88
34,643256,"Cimber, Adam",1022,3.3,0,0,0,0,0,0.173,0.176,0,34,86.8,15,2254,85.2,84.73,6,30,4,-0.5,6.36,111,152,120,148,296,319,290,2.13
28,476595,"Luetge, Lucas",1241,2.3,0,0,0,0,0,0.114,0.117,0,28,83.7,9.9,2646,84.1,84.28,10,24,4,0.2,6.31,112,157,120,146,299,323,286,6.18
40,489265,"Romo, Sergio",1043,3.8,0,0,0,0,0,0.171,0.138,0,39,89.3,23.5,2497,80.1,80.13,10,37,3,0,6.48,113,152,122,151,299,328,302,4.91
63,643511,"Rogers, Tyler",1129,5.6,0,0,0,0,0,0.165,0.169,0,63,82,3,2062,78.1,73.12,4,59,4,-5,5.89,113,150,112,149,293,319,290,1.19
